Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C17, C2, C3, C4, C5, C6, C7, C8",0402,11,0.1uF,
"C10, C9",0402,2,1uF,
"C13, C14",0402,2,10uF,
"C15, C16",0402,2,15pF,
"D1, D2, D3, D4, D5, D6, D7, D8, D9",0402,9,1N4148,
"D10, D11, D12, D13, D14, D15, D16, D17, D18",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,9,WS2812B,
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,
"R1, R2",0402,2,5.1k,
"R3, R4",0402,2,27,
"R5, R6",0402,2,1k,
R7,0402,1,10k,
SW1,SW-SMD_4P-L3.0-W2.6-P1.80-LS3.4-TL,1,SW_Push,C778132
"SW10, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_Cherry_MX_1.00u_PCB,9,SW_Push,
SW11,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U3,WSON-8_L6.0-W5.0-P1.27-BL-EP,1,W25Q16JVSS,C2456208
U4,ER_OLEDM0.91_1x-I2C,1,0.91 Inch OLED,
Y1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,12MHz,C9002
